competitor_id,page_count,page_ids
YWRfaWR8ZmJj,6,540603135808735|593450633843471|600634569801986|611430222043034|674166542440211|701319659731868
d3d3LnlhaG9v,5,112504061318375|565006220038160|626663283862239|694329393767635|777888268731935
YWRfaWR8Y2xp,4,540603135808735|611430222043034|674166542440211|701319659731868
dGhlZXh0cmF0,3,599629833230382|673379782526364|793983330455470
d3d3Lm1zbi5j,2,100745022768756|686064597921539
YWRncm91cF9p,2,373169279205960|384823811372975
YXNpZHxkZXxw,2,561550490382404|678220548710017
ZmJjbGlja3xm,2,373169279205960|384823811372975
a3d8bWVkaWFf,1,503069699564883
am91cm5leXJh,1,106676655664589
aW52ZXN0aW5n,1,106676655664589
b2ZmZXJfaWR8,1,111878135159537
b2ZmZXJzMXN0,1,106676655664589
bGlmZXN0eWxl,1,106676655664589
bHx1dG1fY2Ft,1,100143189842487
bmV3Lmxpc3Qt,1,777888268731935
c2lsdmVyc2xp,1,100441882140082
c2NpZW5jZTFz,1,106676655664589
c2VhcmNoLmtu,1,694329393767635
cG9wdWxhcjFz,1,106676655664589
cmVhZC53b3Js,1,846884451832668
cmVhZC5taW5k,1,626663283862239
d2h5dGhlc2Uu,1,104129958962365
dG9waWNzMXN0,1,106676655664589
dG9wLmRhaWx5,1,565006220038160
dGVkZHlmZWVk,1,106676655664589
dHJlbmRpbmcx,1,106676655664589
dmFjYXRpb24x,1,106676655664589
IFJhbSwgTm8g,1,701319659731868
MTc2Njg0NDUx,1,151769044693608
NzUxMjIxNTgw,1,101787222926808
Y2FtcF9pZHxv,1,111878135159537
Y2VwfGxwdG9r,1,841749595677899
Y2xpY2tfdHJh,1,460311490503171
Ym91dGlxdWUx,1,106676655664589
YWNjb3VudF9p,1,451702364693515
Z2VuaXVzMXN0,1,106676655664589
Z2xhbTFzdC5j,1,106676655664589
ZGlzY292ZXIu,1,112504061318375
ZGlzY292ZXIx,1,106676655664589
ZHNwQWRBY2Nv,1,101787222926808
ZmluZC5wcm8t,1,112504061318375
ZnVuY2F0ei5j,1,104129958962365
ZXhwbG9yZS53,1,112504061318375
ZXZlcnlkYXlz,1,540603135808735